name,type,win_rate,gamesplayed
Lumber Yard,brown,0.24042027194066748,1618.0
Stone Pit,brown,0.21913043478260869,1725.0
Clay Pool,brown,0.19854881266490765,1516.0
Ore Vein,brown,0.2495446265938069,1647.0
Clay Pit,brown,0.21407095610342755,1663.0
Timber Yard,brown,0.30764563106796117,1648.0
Glassworks,grey,0.23806717737183264,1697.0
Press,grey,0.27506112469437655,1636.0
Loom,grey,0.2741818181818182,1375.0
Baths,blue,0.22924411400247832,807.0
Altar,blue,0.18627450980392157,306.0
Theatre,blue,0.0,3.0
East Trading Post,yellow,0.21613300492610837,1624.0
West Trading Post,yellow,0.20745341614906831,1610.0
Marketplace,yellow,0.232527759634226,1531.0
Stockade,red,0.25483870967741934,1550.0
Barracks,red,0.23806571605703658,1613.0
Guard Tower,red,0.2313915857605178,1854.0
Apothecary,green,0.2911737943585077,1099.0
Workshop,green,0.31001890359168244,1058.0
Scriptorium,green,0.3511450381679389,1179.0
Sawmill,brown,0.21498371335504887,1228.0
Quarry,brown,0.27902621722846443,534.0
Brickyard,brown,0.16007194244604317,1668.0
Foundry,brown,0.20481927710843373,83.0
Aqueduct,blue,0.21875,1120.0
Temple,blue,0.2174721189591078,538.0
Statue,blue,0.20915032679738563,306.0
Courthouse,blue,0.3017699115044248,1130.0
Forum,yellow,0.21961009174311927,1744.0
Caravansery,yellow,0.2516840171463564,1633.0
Vineyard,yellow,0.20550705171255876,1489.0
Walls,red,0.2763285024154589,1035.0
Stables,red,0.2759226713532513,1707.0
Archery Range,red,0.25136612021857924,1647.0
Dispensary,green,0.31389252948885976,1526.0
Laboratory,green,0.28308400460299193,1738.0
Library,green,0.34136807817589576,1535.0
School,green,0.3142329020332717,1623.0
Pantheon,blue,0.2400489895897122,1633.0
Gardens,blue,0.160069848661234,1718.0
Town Hall,blue,0.1956960322797579,1487.0
Palace,blue,0.29408138101109743,1622.0
Senate,blue,0.26942046855733665,1622.0
Haven,yellow,0.1997196916608269,1427.0
Lighthouse,yellow,0.18607677293428757,1537.0
Arena,yellow,0.14945054945054945,455.0
Fortifications,red,0.21378708551483422,1146.0
Arsenal,red,0.17613636363636365,880.0
 Siege Workshop,red,0.1793027116768124,1807.0
Lodge,green,0.3796384395813511,1051.0
Observatory,green,0.3396764985727878,1051.0
University,green,0.36572554169402494,1523.0
Academy,green,0.3790112749349523,1153.0
Study,green,0.33269961977186313,1578.0
Workers Guild,purple,0.24065420560747663,428.0
Traders Guild,purple,0.24621212121212122,264.0
Philosophers Guild,purple,0.26990049751243783,804.0
Spies Guild,purple,0.19196428571428573,896.0
Strategists Guild,purple,0.21368948247078465,599.0
Shipowners Guild,purple,0.23043478260869565,230.0
Scientists Guild,purple,0.39445300462249616,649.0
Magistrates Guild,purple,0.17810760667903525,539.0
Builders Guild,purple,0.23311258278145697,755.0
